sdh_comment,interval_start,interval_end,interval_minute,episode,season,season00episode00
düster-melancholische Musik,00:00:13.458000,00:00:16.500000,0,02,03,S03E02
rhythmisches Klopfen,00:00:24.625000,00:00:30.041000,0,02,03,S03E02
bedrohliche Klänge,00:00:24.625000,00:00:30.041000,0,02,03,S03E02
keucht,00:00:36,00:00:38.291000,0,02,03,S03E02
unheilvolle Klänge,00:00:43.875000,00:00:46.208000,0,02,03,S03E02
Donnergrollen,00:00:52.791000,00:00:56.083000,0,02,03,S03E02
düstere Musik,00:01:41.750000,00:01:46.166000,1,02,03,S03E02
schluchzt,00:03:02.333000,00:03:03.291000,3,02,03,S03E02
"Lied: ""Goodbye"" von Apparat",00:03:15.375000,00:03:17.750000,3,02,03,S03E02
Vögel krächzen,00:04:48.791000,00:04:50.958000,4,02,03,S03E02
Radioweck geht an,00:05:07.125000,00:05:08.666000,5,02,03,S03E02
"Lied: ""You Spin Me 'Round"" von Dead or Alive",00:05:08.750000,00:05:11.500000,5,02,03,S03E02
Hundegebell,00:05:28.708000,00:05:30.291000,5,02,03,S03E02
Telefon klingelt,00:05:42.666000,00:05:44.708000,5,02,03,S03E02
Telefon klingelt,00:05:47.458000,00:05:49.833000,5,02,03,S03E02
Anrufbeantwort geht an,00:05:56.166000,00:05:57.750000,5,02,03,S03E02
Piepton,00:06:04.500000,00:06:05.958000,6,02,03,S03E02
Piepton,00:06:22.041000,00:06:23.833000,6,02,03,S03E02
bedrohliche Streichermusik,00:06:39.375000,00:06:43.583000,6,02,03,S03E02
Kirchenglocken läuten,00:06:45.583000,00:06:48.791000,6,02,03,S03E02
flüstert,00:07:33.708000,00:07:36.125000,7,02,03,S03E02
Raunen und Flüstern,00:07:53.750000,00:07:56.416000,7,02,03,S03E02
Tür geht auf,00:08:51,00:08:52.333000,8,02,03,S03E02
Donnergrollen,00:08:58.041000,00:09:00.500000,8,02,03,S03E02
unheilvolle Klänge,00:09:10.041000,00:09:14.333000,9,02,03,S03E02
heulende Sirene in d Ferne,00:09:14.416000,00:09:18.083000,9,02,03,S03E02
seufzt,00:09:34.958000,00:09:36.375000,9,02,03,S03E02
Radiosprecherin,00:09:36.458000,00:09:38.708000,9,02,03,S03E02
Donnergrollen,00:10:17.791000,00:10:20.750000,10,02,03,S03E02
heulende Sirene in d Ferne,00:10:17.791000,00:10:20.750000,10,02,03,S03E02
röchelt,00:10:41.875000,00:10:44.625000,10,02,03,S03E02
leise,00:11:04.875000,00:11:06.791000,11,02,03,S03E02
Geigerzähl knackt,00:11:48.291000,00:11:50.833000,11,02,03,S03E02
bedrohliche Klänge,00:12:05.500000,00:12:07.833000,12,02,03,S03E02
Fluglärm,00:12:13.750000,00:12:16.875000,12,02,03,S03E02
Sirene heult,00:12:19.333000,00:12:24.750000,12,02,03,S03E02
Soldat,00:12:45.250000,00:12:47.583000,12,02,03,S03E02
bedrohliche Klänge,00:13:12.250000,00:13:14.250000,13,02,03,S03E02
Klänge werden bedrohlicher,00:13:40.375000,00:13:43.458000,13,02,03,S03E02
Stille,00:13:44.500000,00:13:45.916000,13,02,03,S03E02
Tür quietscht,00:15:16.250000,00:15:18.125000,15,02,03,S03E02
alt,00:15:22.375000,00:15:24.833000,15,02,03,S03E02
Pausensignal ertönt,00:16:38.958000,00:16:40.791000,16,02,03,S03E02
Mädchen,00:16:40.875000,00:16:43.416000,16,02,03,S03E02
Tür fällt zu,00:18:47.500000,00:18:49.500000,18,02,03,S03E02
Schritte,00:18:53.458000,00:18:55.458000,18,02,03,S03E02
düstere Musik,00:20:23.708000,00:20:27.458000,20,02,03,S03E02
Donnergrollen,00:20:54.916000,00:20:56.916000,20,02,03,S03E02
unheimliche Klänge,00:21:05.666000,00:21:08.458000,21,02,03,S03E02
Hubschrauberlärm von draußen,00:21:30.583000,00:21:33.916000,21,02,03,S03E02
bedrohliche Klänge,00:22:07.458000,00:22:09.791000,22,02,03,S03E02
Donnergrollen,00:22:09.875000,00:22:11,22,02,03,S03E02
Hund winselt,00:25:11.958000,00:25:14.333000,25,02,03,S03E02
bedrohliche Klänge,00:27:25.208000,00:27:26.958000,27,02,03,S03E02
Seufzer,00:28:02.750000,00:28:04.541000,28,02,03,S03E02
Geigerzähl rattert,00:28:58.750000,00:29:00.916000,28,02,03,S03E02
Wind heult,00:29:06.500000,00:29:08.416000,29,02,03,S03E02
Rattern wird stärker,00:29:13.666000,00:29:17,29,02,03,S03E02
unheilvolle Klänge,00:30:12.750000,00:30:15.750000,30,02,03,S03E02
Donnergrollen,00:30:15.833000,00:30:17.833000,30,02,03,S03E02
Poltern von oben,00:30:33.291000,00:30:34.416000,30,02,03,S03E02
bedrohliches Dröhnen,00:31:56,00:31:58.166000,31,02,03,S03E02
Donnergrollen,00:31:58.250000,00:31:59.750000,31,02,03,S03E02
klopft,00:32:18.333000,00:32:19.708000,32,02,03,S03E02
Tür fällt ins Schloss,00:32:27.750000,00:32:29.666000,32,02,03,S03E02
alt,00:34:12.833000,00:34:14.375000,34,02,03,S03E02
unheimliche Klänge,00:36:07.916000,00:36:10.416000,36,02,03,S03E02
stottert,00:36:10.500000,00:36:14,36,02,03,S03E02
stockend,00:36:14.833000,00:36:19.208000,36,02,03,S03E02
Gemurmel,00:37:32.625000,00:37:34.958000,37,02,03,S03E02
spannungsvolle Klänge,00:38:16.916000,00:38:19.666000,38,02,03,S03E02
flüstert,00:38:34.750000,00:38:35.875000,38,02,03,S03E02
unheimliche Klänge,00:39:35.416000,00:39:37.125000,39,02,03,S03E02
atmet panisch,00:40:54.875000,00:40:56.791000,40,02,03,S03E02
sphärische Klänge,00:40:56.875000,00:40:59.208000,40,02,03,S03E02
schreit auf,00:41:02.625000,00:41:03.750000,41,02,03,S03E02
Schlüssel dreht sich im Schloss,00:41:08.416000,00:41:11.541000,41,02,03,S03E02
Tür wird geöffnet,00:41:08.416000,00:41:11.541000,41,02,03,S03E02
Tür geht zu,00:41:13.625000,00:41:14.500000,41,02,03,S03E02
lacht,00:41:56.541000,00:41:58.541000,41,02,03,S03E02
seufzt,00:42:01.833000,00:42:03.041000,42,02,03,S03E02
melancholische Streicherklänge,00:42:34.333000,00:42:37.500000,42,02,03,S03E02
blechern Knall,00:42:54.083000,00:42:55.458000,42,02,03,S03E02
Donnergrollen,00:42:57.333000,00:42:59.125000,42,02,03,S03E02
ächzt,00:43:06.791000,00:43:08.250000,43,02,03,S03E02
schlurfende Schritte,00:43:08.333000,00:43:09.916000,43,02,03,S03E02
keucht,00:43:22.083000,00:43:23.750000,43,02,03,S03E02
schreit,00:44:12.416000,00:44:15.291000,44,02,03,S03E02
dumpfe Schreie,00:44:18.750000,00:44:21.208000,44,02,03,S03E02
Donnergrollen,00:45:34.333000,00:45:36.250000,45,02,03,S03E02
schluchzt,00:45:43.291000,00:45:45.583000,45,02,03,S03E02
Schritte nähern sich,00:46:32.208000,00:46:34.250000,46,02,03,S03E02
bedrohliche Klänge,00:47:38.250000,00:47:40.375000,47,02,03,S03E02
"Lied: ""Is This Love"" von Survivor",00:48:03.041000,00:48:05.875000,48,02,03,S03E02
Musik verstummt,00:48:14.708000,00:48:15.916000,48,02,03,S03E02
"Lied: ""Broken Sleep"" von   Obel",00:48:45.083000,00:48:48.166000,48,02,03,S03E02
Lied klingt aus,00:51:04.500000,00:51:06.041000,51,02,03,S03E02
Tür öffnet sich,00:51:09.125000,00:51:11.041000,51,02,03,S03E02
Knacken,00:51:19.666000,00:51:21.291000,51,02,03,S03E02
Lampen surren,00:51:21.375000,00:51:23.625000,51,02,03,S03E02
Tür quietscht und fällt zu,00:51:25.041000,00:51:26.750000,51,02,03,S03E02
bedrohliche Klänge,00:53:19.083000,00:53:21.416000,53,02,03,S03E02
verzerrte Orgelklänge,00:54:04.625000,00:54:08.208000,54,02,03,S03E02
ruhige Klaviermusik,00:00:06.916000,00:00:08.458000,0,07,01,S01E07
schnappt nach Luft,00:00:11.416000,00:00:13.458000,0,07,01,S01E07
ruhige  spieluhrartige Musik,00:00:17.750000,00:00:20.041000,0,07,01,S01E07
Musik wird zunehmend dissonant,00:00:27.500000,00:00:29.666000,0,07,01,S01E07
stöhnt,00:00:40.458000,00:00:42.083000,0,07,01,S01E07
Gerät piept schnell,00:00:43.208000,00:00:45.333000,0,07,01,S01E07
Piepen wird langsamer,00:00:51.500000,00:00:53.500000,0,07,01,S01E07
ruhige  beklemmende Musik,00:02:39.375000,00:02:42.416000,2,07,01,S01E07
Ruhige  beklemmende Musik läuft weiter,00:02:51.208000,00:02:53.875000,2,07,01,S01E07
schnappt nach Luft,00:03:13.875000,00:03:15.541000,3,07,01,S01E07
unheilvolle Klänge,00:03:57.083000,00:03:59.291000,3,07,01,S01E07
lacht auf,00:04:49.625000,00:04:51.333000,4,07,01,S01E07
laut werdendes  metallisches Ticken,00:05:16.916000,00:05:19.291000,5,07,01,S01E07
